id,name
1,"50까지의 수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다."
10,10000 이상의 큰 수를 읽고 쓸 수 있다.
100,일차부등식을 활용하여 문제를 해결할 수 있다.
101,미지수가 2개인 연립일차방정식을 풀 수 있다.
102,미지수가 2개인 연립일차방정식을 활용하여 문제를 해결할 수 있다.
103,이차방정식을 풀 수 있다.
104,이차방정식을 활용하여 문제를 해결할 수 있다.
105,복소수의 뜻과 성질을 이해하고 사칙연산을 할 수 있다.
106,"이차방정식의 실근과 허근의 뜻을 알고, 판별식의 의미를 이해하여 이를 설명할 수 있다."
107,"이차방정식의 실근과 허근의 뜻을 알고, 판별식의 의미를 이해하여 이를 설명할 수 있다."
108,이차방정식의 근과 계수의 관계를 이해한다.
109,이차방정식과 이차함수의 관계를 이해한다.
11,10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 원리를 이해한다.
110,이차함수의 그래프와 직선의 n위치 관계를 이해한다.
111,"이차함수의 최대, 최소를 이해하고, 이를 활용하여 문제를 해결할 수 있다."
112,간단한 삼차방정식과 사차방정식을 풀 수 있다.
113,미지수가 2개인 연립이차방정식을 풀 수 있다.
114,미지수가 1개인 연립일차부등식을 풀 수 있다.
115,절댓값을 포함한 일차부등식을 풀 수 있다.
116,"이차부등식과 이차함수의 관계를 이해하고, 이차부등식과 연립이차부등식을 풀 수 있다"
117,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러가지 방법으로 나타낼 수 있다."
118,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다."
119,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다."
12,다섯 자리 이상의 수의범위에서 수의 계열을 이해한다.
120,"규칙적인 계산식의 배열에서 계산 결과의 규칙을 찾고, 계산 결과를 추측 할 수 있다."
121,"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다."
122,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 그 관계를 비로 나타낼 수 있다."
123,"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다."
124,"비례식을 알고, 그 성질을 이해한다."
125,비례식의 성질을 활용하여 간단한 비례식을 풀 수 있다.
126,"비례배분을 알고, 주어진 양을 비례배분 할 수 있다."
127,순서쌍과 좌표를 이해한다.
128,"다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다."
129,"정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수있다."
13,다섯 자리 이상의 수의 크기를 비교할 수 있다.
130,함수의 개념을 이해한다
131,"일차함수의 의미를 이해하고, 그 그래프를 그릴 수 있다."
132,"일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다."
133,일차함수와 미지수가 2개인 일차방정식의 관계를 이해한다.
134,두 일차함수의 그래프와 연립일차방정식의 관계를 이해한다.
135,"이차함수의 의미를 이해하고, 그 그래프를 그릴 수 있다."
136,이차함수의 그래프의 성질을 이해한다.
137,"함수의 개념을 이해하고, 그 그래프를 이해한다."
